
> my-project@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.0 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.168.62:3000
✓ Ready in 432ms

 GET / 200 in 22ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 31ms (next.js: 2ms, application-code: 28ms)
 GET / 200 in 25ms (next.js: 2ms, application-code: 22ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 20ms (next.js: 1858µs, application-code: 18ms)
 GET / 200 in 32ms (next.js: 3ms, application-code: 29ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 25ms (next.js: 2ms, application-code: 22ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 58ms (next.js: 2ms, application-code: 56ms)
 GET / 200 in 30ms (next.js: 2ms, application-code: 28ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 28ms (next.js: 1748µs, application-code: 27ms)
 GET / 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET / 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 25ms (next.js: 2ms, application-code: 22ms)
 GET / 200 in 34ms (next.js: 1896µs, application-code: 32ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 24ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET / 200 in 46ms (next.js: 1654µs, application-code: 45ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 20ms (next.js: 1669µs, application-code: 19ms)
 GET / 200 in 21ms (next.js: 1539µs, application-code: 19ms)
 GET / 200 in 18ms (next.js: 1752µs, application-code: 16ms)
 GET / 200 in 35ms (next.js: 1826µs, application-code: 33ms)
 GET / 200 in 25ms (next.js: 1483µs, application-code: 23ms)
 GET / 200 in 17ms (next.js: 1920µs, application-code: 15ms)
 GET / 200 in 19ms (next.js: 1409µs, application-code: 17ms)
 GET / 200 in 95ms (next.js: 1479µs, application-code: 94ms)
 GET / 200 in 18ms (next.js: 1582µs, application-code: 17ms)
 GET / 200 in 17ms (next.js: 1543µs, application-code: 16ms)
 GET / 200 in 16ms (next.js: 1571µs, application-code: 14ms)
 GET / 200 in 27ms (next.js: 1497µs, application-code: 25ms)
 GET / 200 in 18ms (next.js: 1492µs, application-code: 16ms)
 GET / 200 in 16ms (next.js: 1548µs, application-code: 14ms)
 GET / 200 in 19ms (next.js: 1992µs, application-code: 17ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 20ms (next.js: 1758µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1901µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1589µs, application-code: 18ms)
 GET / 200 in 17ms (next.js: 1639µs, application-code: 16ms)
 GET / 200 in 88ms (next.js: 1515µs, application-code: 86ms)
 GET / 200 in 19ms (next.js: 1580µs, application-code: 18ms)
 GET / 200 in 17ms (next.js: 1812µs, application-code: 15ms)
 GET / 200 in 17ms (next.js: 1597µs, application-code: 15ms)
 GET / 200 in 17ms (next.js: 1719µs, application-code: 15ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 66ms (next.js: 2ms, application-code: 64ms)
 GET / 200 in 15ms (next.js: 1506µs, application-code: 14ms)
 GET / 200 in 16ms (next.js: 1572µs, application-code: 14ms)
 GET / 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET / 200 in 16ms (next.js: 1462µs, application-code: 14ms)
 GET / 200 in 20ms (next.js: 1646µs, application-code: 18ms)
 GET / 200 in 17ms (next.js: 1567µs, application-code: 16ms)
 GET / 200 in 16ms (next.js: 1681µs, application-code: 14ms)
 GET / 200 in 18ms (next.js: 1488µs, application-code: 17ms)
 GET / 200 in 18ms (next.js: 1769µs, application-code: 16ms)
 GET / 200 in 19ms (next.js: 1357µs, application-code: 18ms)
 GET / 200 in 19ms (next.js: 1417µs, application-code: 18ms)
 GET / 200 in 19ms (next.js: 1644µs, application-code: 18ms)
 GET / 200 in 18ms (next.js: 1573µs, application-code: 17ms)
 GET / 200 in 17ms (next.js: 1478µs, application-code: 15ms)
 GET / 200 in 17ms (next.js: 1975µs, application-code: 15ms)
 GET / 200 in 81ms (next.js: 1620µs, application-code: 79ms)
 GET / 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET / 200 in 16ms (next.js: 1452µs, application-code: 15ms)
 GET / 200 in 16ms (next.js: 1572µs, application-code: 14ms)
 GET / 200 in 24ms (next.js: 1574µs, application-code: 22ms)
 GET / 200 in 24ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 91ms (next.js: 4ms, application-code: 88ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 19ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 23ms (next.js: 1475µs, application-code: 21ms)
 GET / 200 in 18ms (next.js: 1828µs, application-code: 17ms)
 GET / 200 in 21ms (next.js: 1444µs, application-code: 20ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET / 200 in 34ms (next.js: 3ms, application-code: 31ms)
 GET / 200 in 17ms (next.js: 1551µs, application-code: 15ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 19ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 43ms)
 GET / 200 in 25ms (next.js: 1741µs, application-code: 24ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 19ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 23ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 19ms)
 GET / 200 in 32ms (next.js: 3ms, application-code: 29ms)
 GET / 200 in 20ms (next.js: 1684µs, application-code: 19ms)
 GET / 200 in 18ms (next.js: 1918µs, application-code: 16ms)
 GET / 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 34ms (next.js: 3ms, application-code: 31ms)
 GET / 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 63ms (next.js: 2ms, application-code: 60ms)
 GET / 200 in 20ms (next.js: 1834µs, application-code: 18ms)
 GET / 200 in 36ms (next.js: 1736µs, application-code: 35ms)
 GET / 200 in 19ms (next.js: 1922µs, application-code: 17ms)
 GET / 200 in 24ms (next.js: 2ms, application-code: 22ms)
 GET / 200 in 19ms (next.js: 1504µs, application-code: 18ms)
 GET / 200 in 31ms (next.js: 2ms, application-code: 29ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 29ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 32ms (next.js: 2ms, application-code: 30ms)
 GET / 200 in 33ms (next.js: 1691µs, application-code: 31ms)
 GET / 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET / 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET / 200 in 132ms (next.js: 5ms, application-code: 128ms)
 GET / 200 in 26ms (next.js: 1785µs, application-code: 24ms)
 GET / 200 in 24ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 32ms (next.js: 2ms, application-code: 30ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 27ms (next.js: 1582µs, application-code: 25ms)
 GET / 200 in 27ms (next.js: 1767µs, application-code: 25ms)
 GET / 200 in 49ms (next.js: 2ms, application-code: 47ms)
 GET / 200 in 24ms (next.js: 1955µs, application-code: 22ms)
 GET / 200 in 21ms (next.js: 1930µs, application-code: 19ms)
 GET / 200 in 18ms (next.js: 1479µs, application-code: 17ms)
 GET / 200 in 17ms (next.js: 1723µs, application-code: 16ms)
 GET / 200 in 18ms (next.js: 1413µs, application-code: 16ms)
 GET / 200 in 18ms (next.js: 1992µs, application-code: 16ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 18ms (next.js: 1489µs, application-code: 17ms)
 GET / 200 in 27ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 26ms (next.js: 4ms, application-code: 22ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 27ms (next.js: 1921µs, application-code: 25ms)
 GET / 200 in 26ms (next.js: 1966µs, application-code: 24ms)
 GET / 200 in 98ms (next.js: 4ms, application-code: 94ms)
 GET / 200 in 95ms (next.js: 1985µs, application-code: 93ms)
 GET / 200 in 31ms (next.js: 1912µs, application-code: 29ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 19ms (next.js: 1949µs, application-code: 17ms)
 GET / 200 in 30ms (next.js: 3ms, application-code: 26ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 19ms (next.js: 1641µs, application-code: 17ms)
 GET / 200 in 32ms (next.js: 1715µs, application-code: 30ms)
 GET / 200 in 20ms (next.js: 1672µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1785µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1607µs, application-code: 19ms)
 GET / 200 in 19ms (next.js: 1671µs, application-code: 18ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET / 200 in 18ms (next.js: 1902µs, application-code: 16ms)
 GET / 200 in 21ms (next.js: 1595µs, application-code: 19ms)
 GET / 200 in 20ms (next.js: 1782µs, application-code: 18ms)
 GET / 200 in 19ms (next.js: 1632µs, application-code: 17ms)
 GET / 200 in 88ms (next.js: 1954µs, application-code: 86ms)
 GET / 200 in 25ms (next.js: 1464µs, application-code: 23ms)
 GET / 200 in 21ms (next.js: 1574µs, application-code: 19ms)
 GET / 200 in 83ms (next.js: 1839µs, application-code: 81ms)
 GET / 200 in 110ms (next.js: 4ms, application-code: 106ms)
 GET / 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET / 200 in 21ms (next.js: 1745µs, application-code: 19ms)
 GET / 200 in 20ms (next.js: 1773µs, application-code: 18ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 21ms (next.js: 1760µs, application-code: 20ms)
 GET / 200 in 21ms (next.js: 1604µs, application-code: 19ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 20ms (next.js: 1689µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1695µs, application-code: 18ms)
 GET / 200 in 22ms (next.js: 1798µs, application-code: 20ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET / 200 in 23ms (next.js: 1932µs, application-code: 21ms)
 GET / 200 in 70ms (next.js: 2ms, application-code: 68ms)
 GET / 200 in 66ms (next.js: 1738µs, application-code: 64ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 30ms (next.js: 2ms, application-code: 27ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 22ms (next.js: 1614µs, application-code: 20ms)
 GET / 200 in 22ms (next.js: 1553µs, application-code: 20ms)
 GET / 200 in 22ms (next.js: 3ms, application-code: 19ms)
 GET / 200 in 24ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 19ms)
 GET / 200 in 23ms (next.js: 1545µs, application-code: 21ms)
 GET / 200 in 20ms (next.js: 1717µs, application-code: 19ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 20ms (next.js: 1635µs, application-code: 19ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET / 200 in 15ms (next.js: 1352µs, application-code: 14ms)
 GET / 200 in 19ms (next.js: 2ms, application-code: 17ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 54ms)
 GET / 200 in 123ms (next.js: 1439µs, application-code: 122ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1574µs, application-code: 18ms)
 GET / 200 in 21ms (next.js: 1545µs, application-code: 20ms)
 GET / 200 in 20ms (next.js: 1605µs, application-code: 18ms)
 GET / 200 in 19ms (next.js: 1703µs, application-code: 17ms)
 GET / 200 in 23ms (next.js: 1597µs, application-code: 22ms)
 GET / 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET / 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 21ms (next.js: 1549µs, application-code: 20ms)
 GET / 200 in 23ms (next.js: 1740µs, application-code: 21ms)
 GET / 200 in 25ms (next.js: 1976µs, application-code: 23ms)
 GET / 200 in 20ms (next.js: 1750µs, application-code: 18ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 25ms (next.js: 1712µs, application-code: 24ms)
 GET / 200 in 21ms (next.js: 1724µs, application-code: 19ms)
 GET / 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 22ms (next.js: 1794µs, application-code: 20ms)
 GET / 200 in 19ms (next.js: 1932µs, application-code: 17ms)
 GET / 200 in 30ms (next.js: 2ms, application-code: 28ms)
 GET / 200 in 84ms (next.js: 4ms, application-code: 80ms)
 GET / 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET / 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 19ms (next.js: 1808µs, application-code: 17ms)
 GET / 200 in 16ms (next.js: 1440µs, application-code: 15ms)
 GET / 200 in 18ms (next.js: 1454µs, application-code: 17ms)
